"HALTESTELLEN_ID";"TYP";"DIVA";"NAME";"GEMEINDE";"GEMEINDE_ID";"WGS84_LAT";"WGS84_LON";"STAND"
214462486;"stop";60203538;"Gramatneusiedl Bahnhof";"Gramatneusiedl";32405;48.0351290092409;16.4911955882876;""
214462492;"stop";60203544;"Greifenstein-Altenberg Bahnhof";"Greifenstein/Donau";32142;48.3452270859421;16.2404423753617;""
214462504;"stop";60203556;"Großenzersdorf Busbahnhof";"Groß-Enzersdorf";30821;48.2000641904156;16.549308936569;""
214462506;"stop";60203558;"Großenzersdorf Stadtmauer";"Groß-Enzersdorf";30821;48.2051273925848;16.5493030391763;""
214462550;"stop";60203602;"Gumpoldskirchen Bahnhof";"Gumpoldskirchen";31709;48.0414279236272;16.2853563772082;""
214462556;"stop";60203608;"Guntersdorf Bahnhof";"Guntersdorf (HL)";31014;48.6429104274917;16.05219842563;""
214462563;"stop";60203615;"Guntramsdorf Lokalbahn";"Guntramsdorf";31710;48.0485414292236;16.3118664862983;""
214462564;"stop";60203616;"Guntramsdorf-Thallern";"Guntramsdorf";31710;48.0517212466219;16.2976867917275;""
214462570;"stop";60203622;"Gänserndorf Bahnhof";"Gänserndorf";30817;48.3399275112258;16.7319401381085;""
214462595;"stop";60203647;"Göllersdorf Bahnhof";"Göllersdorf";31008;48.4923786339631;16.1260042570737;""
214462603;"stop";60203655;"Götzendorf Bahnhof";"Götzendorf/Leitha";30709;48.0255052459671;16.5880712730835;""
214462625;"stop";60203677;"Hainburg/Donau Ungartor/B9";"Hainburg/Donau";30710;48.148443577125;16.9476643917727;""
214462629;"stop";60203681;"Hainburg/Donau Kulturfabrik Bf";"Hainburg/Donau";30710;48.1448180434082;16.932490202331;""
214462634;"stop";60203686;"Hainburg/Donau Personenbf.";"Hainburg/Donau";30710;48.1487993889517;16.9399008886132;""
214462654;"stop";60203706;"Haslau an der Donau Bahnhof";"Haslau (Donau)";30711;48.1098832626321;16.7097855089147;""
214462657;"stop";60203709;"Hausleiten Bahnhof";"Hausleiten (Bz KO)";31208;48.3915843021893;16.1059764402525;""
214462660;"stop";60203712;"Hautzendorf Bahnhof";"Hautzendorf (NÖ)";31627;48.4513755335159;16.4928644013093;""
214462671;"stop";60203723;"Hennersdorf Bahnhof";"Hennersdorf bei Wien";31711;48.1130695267412;16.3589067996248;""
214462681;"stop";60203733;"Hetzmannsdorf-Wullersdorf Bf";"Hetzmannsdorf (HL)";31051;48.6164016731004;16.0920176494272;""
214462682;"stop";60203734;"Himberg Bahnhof";"Himberg (bei Wien)";32406;48.0823258348978;16.4449255479755;""
214462725;"stop";60203777;"Hofstatt Bahnhof";"Hofstatt(Ma Anzbach)";31921;48.1923981860481;15.918390428511;""
214462728;"stop";60203780;"Hollabrunn Bahnhof";"Hollabrunn";31022;48.5629147955653;16.0722236874978;""
214462742;"stop";60203794;"Höbersdorf Bahnhof";"Höbersdorf";31226;48.4486603004202;16.1733349164183;""
214462748;"stop";60203800;"Höflein an der Donau Bahnhof";"Höflein an der Donau";32408;48.3500512865877;16.2720309920718;""
214462754;"stop";60203806;"Hörersdorf Bahnhof";"Hörersdorf";31633;48.6202338208449;16.5159834883349;""
214462800;"stop";60203852;"Kapellerfeld Bahnhof";"Kapellerfeld";32404;48.3163441304139;16.4945401914086;""
214462843;"stop";60203895;"Kledering Bahnhof";"Kledering";32419;48.1324957723252;16.4396576185551;""
214462900;"stop";60203952;"Klosterneuburg-Kierling Bf.";"Klosterneuburg";32408;48.3098698364915;16.3257632270198;""
214462901;"stop";60203953;"Klosterneuburg-Weidling Bf.";"Klosterneuburg";32408;48.2971900659567;16.3347420092242;""
214462911;"stop";60203963;"Korneuburg Bahnhof";"Korneuburg";31213;48.3421281380134;16.3296551970253;""
214462937;"stop";60203989;"Kottingbrunn Bahnhof";"Kottingbrunn";30618;47.9510019479388;16.2268611617182;""
214462939;"stop";60203991;"Kottingneusiedl Bahnhof";"Kottingneusiedl";31629;48.7032040185921;16.4650873882316;""
214462943;"stop";60203995;"Kritzendorf Bahnhof";"Kritzendorf";32408;48.3362048941041;16.2989031208693;""
214462951;"stop";60204003;"Unter Kritzendorf Bahnhof";"Kritzendorf";32408;48.3232038070364;16.3090395561553;""
214462963;"stop";60204015;"Laa an der Thaya Bahnhof";"Laa an der Thaya";31629;48.7229860711782;16.4031892863012;""
214462973;"stop";60204025;"Ladendorf Bahnhof";"Ladendorf";31630;48.5354003860589;16.5080186212009;""
214462977;"stop";60204029;"Langenlebarn Bahnhof";"Langenlebarn";32135;48.3276666407269;16.1222988452795;""
214462993;"stop";60204045;"Langenzersdorf Bahnhof";"Langenzersdorf";31214;48.3071528296576;16.3551241408974;""
214463002;"stop";60204054;"Lanzendorf-Rannersdorf Bahnhof";"Lanzendorf bei Wien";32409;48.1128562430275;16.4471924184978;""
214463031;"stop";60204083;"Leobendorf-Burg Kreuzenstn Bf";"Leobendorf (NÖ)";31216;48.3647585633828;16.3018108694371;""
214463032;"stop";60204084;"Leobersdorf Bahnhof";"Leobersdorf";30620;47.937650247198;16.2309848339952;""
214463088;"stop";60204140;"Maria Anzbach Bahnhof";"Maria Anzbach";31921;48.187761388684;15.9345805110795;""
214463090;"stop";60204142;"Maria Ellend Bahnhof";"Maria Ellend";30711;48.109756588192;16.6872108689634;""
214463112;"stop";60204164;"Maria Enzersdorf-Südstadt Bf";"Maria Enzersdorf";31716;48.09563161397;16.3147038654652;""
214463144;"stop";60204196;"Michelhausen Bahnhof";"Michelhausen";32120;48.2962103483725;15.9345933707516;""
214463150;"stop";60204202;"Mistelbach Bahnhof";"Mistelbach/Zaya";31633;48.5658597632006;16.5642961894026;""
214463155;"stop";60204207;"Mistelbach Stadt";"Mistelbach/Zaya";31633;48.5710934075554;16.5688320375019;""
214463164;"stop";60204216;"Moosbierbaum-Heiligeneich Bf";"Moosbierbaum";32104;48.3059412503131;15.90011570729;""
214463173;"stop";60204225;"Muckendorf-Wipfing Bahnhof";"Muckendorf/Donau";32140;48.3279840855223;16.1496874294302;""
214463179;"stop";60204231;"Münchendorf Bahnhof";"Münchendorf";31718;48.0322911753316;16.3854604063901;""
214463187;"stop";60204239;"Mödling Bahnhof";"Mödling";31717;48.0856257519375;16.295473670794;""
214463250;"stop";60204302;"Eigenheimsiedlung Haltestelle";"Eigenheimsiedlung";30639;48.039609059815;16.3043071722581;""
214463252;"stop";60204304;"Möllersdorf Haltestelle";"Möllersdorf";30639;48.029346421787;16.3006799744382;""
214463266;"stop";60204318;"Neubau-Kreuzstetten Bahnhof";"Neubau-Kreuzstetten";31628;48.4980889462344;16.5022770798468;""
214463279;"stop";60204331;"Neu Guntramsdorf Haltestelle";"Neu-Guntramsdorf";31710;48.0637317222408;16.3135364386909;""
214463285;"stop";60204337;"Neulengbach Bahnhof";"Neulengbach";31926;48.1995891754219;15.8933915434339;""
214463286;"stop";60204338;"Neulengbach Stadt Bahnhof";"Neulengbach";31926;48.1963929222418;15.9066552489842;""
214463325;"stop";60204377;"Niederkreuzstetten Bahnhof";"Niederkreuzstetten";31628;48.4776248471819;16.4796361240763;""
214463343;"stop";60204395;"Obereggendorf Bahnhof";"Obereggendorf";32305;47.8494364173532;16.2970616173896;""
214463356;"stop";60204408;"Oberolberndorf Bahnhof";"Oberolberndorf";31226;48.4134638314497;16.1745009634321;""
214463365;"stop";60204417;"Obersdorf Bahnhof";"Obersdorf (NÖ)";31655;48.3624003244879;16.5169362100426;""
214463403;"stop";60204455;"Paasdorf Bahnhof";"Paasdorf";31633;48.5461214024052;16.5348851540748;""
214463448;"stop";60204500;"Perchtoldsdorf Bahnhof";"Perchtoldsdorf";31719;48.1234028290958;16.2851278756321;""
214463479;"stop";60204531;"Petronell-Carnuntum Bahnhof";"Petronell";30718;48.1054603921689;16.866991145218;""
214463481;"stop";60204533;"Pfaffstätten Bahnhof";"Pfaffstätten";30625;48.0185788939353;16.2592122112527;""
214463484;"stop";60204536;"Pfaffstätten Rennplatz";"Pfaffstätten";30625;48.0081655618046;16.2609834032893;""
214463500;"stop";60204552;"Platt Bahnhof";"Platt (Zellerndorf)";31052;48.6745542569514;15.9663151121333;""
214463510;"stop";60204562;"Pottendorf-Landegg Bahnhof";"Pottendorf";30626;47.9050089950813;16.3955985191093;""
214463522;"stop";60204574;"Pressbaum Bahnhof";"Pressbaum";32415;48.1810036155121;16.0772692641136;""
214463549;"stop";60204601;"Purkersdorf Sanatorium";"Purkersdorf bei Wien";32416;48.2064333892336;16.2015770267071;""
214463551;"stop";60204603;"Purkersdorf Zentrum Bahnhof";"Purkersdorf bei Wien";32416;48.2062570384852;16.1762302809472;""
214463553;"stop";60204605;"Unterpurkersdorf Bahnhof";"Unterpurkersdorf";32416;48.2076142452105;16.1891287181578;""
214463587;"stop";60204639;"Regelsbrunn Bahnhof";"Regelsbrunn";30722;48.107009503623;16.7817926738061;""
214463599;"stop";60204651;"Rekawinkel Bahnhof";"Rekawinkel";32415;48.1800819002847;16.0314462044462;""
214463604;"stop";60204656;"Retz Bahnhof";"Retz";31037;48.7537568929777;15.9571256852553;""
214463636;"stop";60204688;"Sarasdorf Bahnhof";"Sarasdorf";30726;48.0233323857786;16.6772794362158;""
214463643;"stop";60204695;"Schleinbach Bahnhof";"Schleinbach";31651;48.4222242729583;16.4901941840925;""
214463656;"stop";60204708;"Flughafen Wien (VIE) Bahnhof";"Schwechat";32419;48.1212310263451;16.5623202653413;""
214463658;"stop";60204710;"Schwechat Bahnhof";"Schwechat";32419;48.1429359336269;16.4821003981212;""
214463666;"stop";60204718;"Schwechat Brauerei";"Schwechat";32419;48.1451995731616;16.469502004784;""
214463667;"stop";60204719;"Schwechat Ehrenbrunngasse";"Schwechat";32419;48.1392975818233;16.478959396868;""
214463671;"stop";60204723;"Schwechat Hauptplatz";"Schwechat";32419;48.1399832628687;16.4771876670931;""
214463683;"stop";60204735;"Schwechat B10/Rathausplatz";"Schwechat";32419;48.1412797592449;16.4759953310104;""
214463691;"stop";60204743;"Schönborn Bahnhof";"Schönborn-Mallebern";31008;48.4689091049605;16.1590843049697;""
214463707;"stop";60204759;"Seyring Bahnhof";"Seyring";32404;48.3309115262086;16.5018681197562;""
214463713;"stop";60204765;"Siebenhirten (NÖ) Haltestelle";"Siebenhirten/Mistelb";31633;48.6105302045175;16.5328595832529;""
214463731;"stop";60204783;"Sierndorf Bahnhof";"Sierndorf/Stockerau";31226;48.4290763099269;16.17508655623;""
214463738;"stop";60204790;"Silberwald Bahnhof";"Silberwald";30852;48.3282826941979;16.6783105087519;""
214463746;"stop";60204798;"Sitzenberg-Reidling Bahnhof";"Sitzenberg";32132;48.3318295548906;15.8211310598738;""
214463749;"stop";60204801;"Sollenau Bahnhof";"Sollenau";32327;47.8977847863406;16.2456697940301;""
214463762;"stop";60204814;"Spillern Bahnhof";"Spillern";31227;48.3761569134252;16.2560968422987;""
214463772;"stop";60204824;"St Andrä-Wördern Bahnhof";"St Andrä-Wördern";32142;48.3337756506058;16.20913247073;""
214463796;"stop";60204848;"St Pölten Hauptbahnhof";"St Pölten";30201;48.2081918762008;15.6240387768482;""
214463800;"stop";60204852;"Staatz Bahnhof";"Staatz";31649;48.6998161171831;16.4923301634128;""
214463823;"stop";60204875;"Mannswörth Bahnhof";"Mannswörth";32419;48.1366248601749;16.5066027133522;""
214463832;"stop";60204884;"Stockerau Bahnhof";"Stockerau";31230;48.3826203139864;16.2125751055322;""
214463870;"stop";60204922;"Strasshof Bahnhof";"Strasshof (Nordbahn)";30856;48.318547128957;16.6349500433894;""
214463938;"stop";60204990;"Theresienfeld Bahnhof";"Theresienfeld";32330;47.8602615245615;16.2439309404497;""
214463949;"stop";60205001;"Traiskirchen Lokalbahn";"Traiskirchen";30639;48.0153669697832;16.2906498208718;""
214463953;"stop";60205005;"Traismauer Bahnhof";"Traismauer";31943;48.3480137220518;15.7455787826741;""
